Date,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23
2017-12-26,24.226981573416047,23.549864861755488,23.549864861755488,23.608658572020794,24.110309620975805,26.349551817369615,30.612601838377625,35.243150841054145,35.24241144682558,35.053387274397444,34.81530238869363,33.81196534511218,32.41671184735518,31.70670235774886,31.70670235774886,31.45782891810262,33.351348381926385,38.96814458816061,43.03809635194292,41.44746073554438,41.44746073554438,38.7595001520157,32.27747363149681,28.91349851197531
2017-12-27,27.59582328974119,27.097420899917978,27.097420899917978,27.097420899917978,28.40177688668571,32.56193555173452,38.23638531017646,44.085387258630085,43.95908428200712,42.957627929743275,42.42791028203458,40.222836261604165,38.27245844081218,35.73369017993018,35.73369017993018,35.56683005658782,38.82421115713665,46.57115302935764,50.681031763105594,50.63487992593375,49.84858968881158,44.681821490404424,37.313458188454604,32.99629099178493
2017-12-28,32.70223960947921,31.491655612697798,31.491655612697798,32.56193555173452,34.3383784127589,38.09608125243177,46.63751426344365,51.292232688030595,51.34419102720106,49.234291395172505,46.57115302935763,43.182651109594424,43.00789199064586,39.4988023005085,38.66937731190324,38.79930984075907,41.454433040944934,49.63924217067392,52.00464115801197,51.95848932084012,51.95848932084012,48.218138217577675,39.72180999464064,34.933595282897905
2017-12-29,33.95379962423868,31.491655612697798,31.348312612716406,31.426371854248572,32.4966517932853,37.43549101122805,42.96089347852571,47.71810611107728,47.17507604950128,44.3121221626112,41.47730753935703,39.32996755310697,38.163620915932924,35.733690179930186,35.566830056587825,35.04380206808194,37.076813932993616,41.45443304094493,44.135189099171726,44.089037261999884,42.73289419513722,37.908863600010726,33.46523873839489,30.29196926488968
2017-12-30,28.401776886685703,27.097420899917967,26.57166828865881,26.57166828865881,26.349551817369605,27.530539531291954,29.966037500261965,32.692233127062345,33.93927109169994,34.5693099363301,33.98953515260252,32.927120311077125,31.469455788000015,31.03360084725338,30.898660313094915,30.898660313094915,31.36410928394808,34.75759687695091,36.95191569440749,36.90576385723565,34.87275199232397,33.0966069901062,29.387653702322552,28.161233164845452
2017-12-31,28.401776886685703,27.595823289741183,27.530539531291957,27.530539531291957,27.21963130088298,28.614909631504844,30.547318079928395,34.02188872553955,34.50402617788089,34.56930993633011,34.619573997232685,33.70118620599614,32.92712031107714,32.306246849069716,31.46945578800001,32.306246849069716,33.98953515260253,39.83456046227711,41.13534664680408,42.828085195624375,41.08919480963224,38.941632299780785,35.38038163184368,32.696961159521805
2018-01-01,30.201262849151618,29.23734140169543,29.23734140169543,29.06198684680401,30.025908294260198,31.557375708175364,33.97584459267215,37.53543190117519,39.827864222761995,39.827864222761995,36.90415984016878,35.68966786009094,32.04911553706095,31.077917838015843,30.789568891409456,31.077917838015843,35.618037673133045,39.955442403875374,46.15980575353129,65.40317181964049,47.21815906175926,39.16496031303477,37.844441107467375,34.81383859072095
2018-01-02,41.37190597377133,39.361970815926384,37.53543190117519,40.50940034467098,38.3125038133832,62.43926791241657,94.67511522435196,168.5764395614098,162.05688327271793,131.9375898034861,96.04799183680863,95.24613476411507,69.20832156130692,52.71043024016355,52.71043024016355,52.71043024016355,71.7824369938041,103.22761699586518,180.82936816628782,203.1525402220079,199.47573223729296,94.39862280933049,51.931579830125074,38.79933955610959
2018-01-03,38.39793753027553,36.51397626526377,36.32093992109734,37.53543190117518,40.50940034467097,47.42528197136237,89.19809780598419,154.549741471646,101.69344755487329,93.7119653231232,70.89544299804471,45.917192426795076,45.794548613472145,41.799124534064944,41.53445800294062,41.53445800294062,42.82058016997635,54.194335620252815,93.79837336376501,93.64288831969675,93.64288831969675,67.55895253382876,45.05963809894037,34.36044692954306
2018-01-04,26.854390779375567,26.854390779375567,24.86585974553552,26.00915293886964,26.854390779375567,31.348151474546555,39.50227487367106,48.47966363064851,47.7254693432082,43.07402423427102,40.80474795056289,41.90552387948622,38.931555435990425,36.50322510361636,36.50322510361636,36.50322510361636,40.69168552718999,67.72441618121765,93.79837336376502,93.64288831969677,93.64288831969677,67.55895253382879,45.05963809894038,34.81762193628398
